org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
1;1;1;1;1;2;152;60;3;0;103;0;;3;4;5;280;0;1;1;1;0;1;1;0;;;;;;11.23;;4361300;705600;;384617;6152;O;2
1;3;1;1;1;5;149;60;3;0;2204;2;;2;0;6;800;0;1;1;1;0;1;1;2;;;;;;11.23;;0;0;;384618;6149;O;4
1;2;1;1;1;2;79;60;1;0;8;0;;3;3;155;100;0;1;1;1;0;1;1;1;;;;;;11.23;;0;0;;384619;6079;O;3
5;1;7;3;1;3;29;60;2;5;0;0;;2;4;;;0;1;1;1;0;1;1;1;1;65;0;CARNOT (BOULEVARD);;11.23;;;;;384620;6029;O;3
5;1;6;1;1;3;69;60;3;0;0;0;;1;2;0;1;0;1;2;1;0;1;1;1;0;;0;CHASSEURS ALPINS (ROND-POINT);;11.23;;;;;384621;6069;O;3
5;1;6;1;2;2;69;60;3;0;0;0;;2;2;;;0;2;1;1;0;1;1;0;1;111;0;SIDI BRAHIM (AVENUE ET TRAVERSE);;11.23;;;;;384622;6069;O;2
5;1;5;1;1;1;104;60;2;0;0;0;;2;2;;;0;2;2;1;0;1;1;0;1;;0;VERDUN (AVENUE DE, N° 131 ET +);;11.23;;;;;384623;6104;O;2
5;5;9;1;1;7;88;60;4;0;0;0;;3;6;;;0;1;1;1;0;1;1;0;1;151;0;ANGLAIS (DU N° 114 AU N° 263);;11.23;;;;;384624;6088;O;2
5;5;9;1;1;3;88;60;4;0;0;0;;2;4;;;0;1;1;1;0;1;1;1;1;131;0;GAMBETTA (A PARTIR DU N° 63/74);;11.23;;;;;384625;6088;O;3
5;1;9;1;1;3;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;89;0;RAYBAUD JOSEPH;;11.23;;;;;384626;6088;O;3
5;1;9;1;1;6;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;4;0;VALLON-SABATIER (AV. DU);;11.23;;;;;384627;6088;O;2
5;1;9;1;1;6;88;60;4;0;0;0;;2;4;;;0;1;1;1;0;1;1;0;1;0;0;GAMBETTA (A PARTIR DU N° 63/74);;11.23;;;;;384628;6088;O;2
1;1;1;9;1;3;147;60;3;0;719;0;;2;0;2;970;0;2;3;1;0;1;1;0;;;;;;11.23;;0;0;;384629;6147;O;2
1;1;5;1;1;5;149;60;3;0;2204;0;;2;0;5;0;0;1;1;1;0;1;1;1;;;;;;11.23;;0;0;;384630;6149;O;3
1;1;1;1;1;3;161;60;3;0;6007;0;;2;2;0;0;0;1;1;1;0;1;1;0;;;;;;11.23;;0;0;;384631;6161;O;2
1;1;4;1;1;1;59;60;3;0;6007;0;;2;3;55;890;3;1;4;1;0;1;1;1;;;;;;11.23;;4373400;736800;;384632;6059;O;3
1;1;1;1;1;1;78;60;3;0;6202;0;;2;2;0;0;0;1;2;1;0;1;1;0;;;;;;11.23;;4392200;716400;;384633;6078;O;2
5;1;7;1;1;2;4;60;4;0;0;0;;2;2;1;0;0;1;1;0;0;1;1;0;0;;0;CLAUDE CH.DE ST;;11.23;;;;;384634;6004;O;2
5;2;6;1;1;6;123;60;4;0;0;0;;0;2;;;0;0;0;1;0;1;1;0;1;246;0;LIBERATION AVENUE DE LA;;11.23;;;;;384636;6123;O;2
5;1;6;1;1;2;27;60;2;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;94;0;NICE AVENUE DE (RN7);;11.23;;;;;384637;6027;O;2
5;1;7;2;1;3;29;60;3;0;0;0;;2;3;;;0;2;1;1;0;1;1;1;1;0;0;VALLAURIS (AVENUE DE);;11.23;;;;;384638;6029;O;3
5;1;7;1;1;3;29;60;3;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;5;0;CLEMENCEAU (RUE GEORGES);;11.23;;;;;384639;6029;O;3
5;1;1;1;1;5;30;60;4;0;0;0;;2;2;;;0;1;2;1;0;1;1;1;9;0;0;CARIMAI (RUE);;11.23;;;;;384640;6030;O;3
5;3;6;6;1;3;83;60;3;0;0;0;;1;2;;;0;1;1;1;0;1;1;1;1;3;0;SOSPEL (AVENUE DE, N° 1 A 55);;11.23;;;;;384641;6083;O;3
5;5;9;2;1;3;88;60;4;0;0;0;;1;4;;;0;1;1;1;0;1;1;1;1;0;0;ANGLAIS (DU N° 114 AU N° 263);;11.23;;;;;384642;6088;O;3
